,GENEABREV,ENTRY,ENTRY NAME,PROTEIN,GENE,ORGANISM,STATUS,GO - BIOLOGICAL PROCESS,MOLECULAR FUNCION,BIOLOGICAL PROCESS,LIGARD
844,CACNB3,Q9MZL3,CACB3_BOVIN,Voltage-dependent L-type calcium channel subunit beta-3,CACNB3,Bos taurus (Bovine),Reviewed,calcium ion transmembrane transport via high voltage-gated calcium channel. chemical synaptic transmission. neuromuscular junction development. positive regulation of high voltage-gated calcium channel activity. regulation of voltage-gated calcium channel activity,Calcium channel. Ion channel. Voltage-gated channel,Calcium transport. Ion transport. Transport,Calcium
845,ADCY6,A7E3S4,RAF1_BOVIN,RAF proto-oncogene serine/threonine-protein kinase,RAF1,Bos taurus (Bovine),Reviewed,activation of adenylate cyclase activity. activation of MAPKK activity. cell differentiation. death-inducing signaling complex assembly. face development. insulin secretion involved in cellular response to glucose stimulus. intermediate filament cytoskeleton organization. intracellular signal transduction. negative regulation of cell population proliferation. negative regulation of extrinsic apoptotic signaling pathway via death domain receptors. negative regulation of protein-containing complex assembly. neurotrophin TRK receptor signaling pathway. positive regulation of peptidyl-serine phosphorylation. positive regulation of transcription by RNA polymerase II. response to muscle stretch. signal transduction. somatic stem cell population maintenance. thymus development. thyroid gland development,Kinase. Serine/threonine-protein kinase. Transferase,na,ATP-binding. Metal-binding. Nucleotide-binding. Zinc
846,TEX49,A0A4W2HZT3,A0A4W2HZT3_BOBOX,Uncharacterized protein,TEX49,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,na,na,na,na
847,LOC107132475,na,na,na,na,na,na,na,na,na,na
848,CCNT1,Q6T8E9,CCNT1_BOVIN,Cyclin-T1,CCNT1,Bos taurus (Bovine),Reviewed,"cell cycle. cell division. negative regulation of mRNA polyadenylation. positive regulation of DNA-templated transcription, elongation. positive regulation of transcription by RNA polymerase II. protein phosphorylation. regulation of transcription by RNA polymerase II. transcription, DNA-templated. viral process",Cyclin,Cell cycle. Cell division. Host-virus interaction. Transcription. Transcription regulation,na
849,KANSL2,Q2NL14,KANL2_BOVIN,KAT8 regulatory NSL complex subunit 2,KANSL2,Bos taurus (Bovine),Reviewed,histone H4-K16 acetylation. histone H4-K5 acetylation. histone H4-K8 acetylation,Chromatin regulator,na,na
850,LOC112446865,na,na,na,na,na,na,na,na,na,na
851,LOC112446866,na,na,na,na,na,na,na,na,na,na
852,MIR1291,na,na,na,na,na,na,na,na,na,na
853,LOC783895,na,na,na,na,na,na,na,na,na,na
854,LALBA,P00711,LALBA_BOVIN,Alpha-lactalbumin,LALBA,Bos taurus (Bovine),Reviewed,lactose biosynthetic process. response to 11-deoxycorticosterone. response to dehydroepiandrosterone. response to estradiol. response to progesterone,Milk protein,Lactose biosynthesis,Calcium. Metal-binding
855,LOC104972406,na,na,na,na,na,na,na,na,na,na
856,LOC617415,na,na,na,na,na,na,na,na,na,na
857,LOC526630,na,na,na,na,na,na,na,na,na,na
858,LOC614370,na,na,na,na,na,na,na,na,na,na
859,LOC515887,E1BEY3,E1BEY3_BOVIN,Olfactory receptor,OR8S8,Bos taurus (Bovine),Unreviewed,na,G-protein coupled receptor. Receptor. Transducer,Olfaction. Sensory transduction,na
860,OR8S27 LOC506992,F1MLF2,F1MLF2_BOVIN,Olfactory receptor,OR8S27,Bos taurus (Bovine),Unreviewed,na,G-protein coupled receptor. Receptor. Transducer,Olfaction. Sensory transduction,na
861,OR8S25 LOC781446,A0A3Q1LVL1,A0A3Q1LVL1_BOVIN,G_PROTEIN_RECEP_F1_2 domain-containing protein,OR8S25,Bos taurus (Bovine),Unreviewed,na,G-protein coupled receptor. Receptor. Transducer,na,na
862,OR8S10 LOC509508,A0A3Q1MA08,A0A3Q1MA08_BOVIN,Olfactory receptor,OR8S10,Bos taurus (Bovine),Unreviewed,na,G-protein coupled receptor. Receptor. Transducer,Olfaction. Sensory transduction,na
863,LOC781517,na,na,na,na,na,na,na,na,na,na
864,OR8S15 LOC507383,A0A3Q1MA20,A0A3Q1MA20_BOVIN,Olfactory receptor,OR8S15,Bos taurus (Bovine),Unreviewed,na,G-protein coupled receptor. Receptor. Transducer,Olfaction. Sensory transduction,na
865,LOC781595,na,na,na,na,na,na,na,na,na,na
866,OR8S1,F1MQF3,F1MQF3_BOVIN,Olfactory receptor,OR8S1,Bos taurus (Bovine),Unreviewed,na,G-protein coupled receptor. Receptor. Transducer,Olfaction. Sensory transduction,na
867,OR8S24 LOC504567,F1N475,F1N475_BOVIN,Olfactory receptor,OR8S24,Bos taurus (Bovine),Unreviewed,na,G-protein coupled receptor. Receptor. Transducer,Olfaction. Sensory transduction,na
868,LOC781756,na,na,na,na,na,na,na,na,na,na
869,LOC781840,na,na,na,na,na,na,na,na,na,na
870,LOC101907855,na,na,na,na,na,na,na,na,na,na
871,C5H12orf54,Q3SZX7,CL054_BOVIN,Uncharacterized protein C12orf54 homolog,N/A,Bos taurus (Bovine),Reviewed,na,na,na,na
872,OR8S2 LOC509817,A0A3Q1MKL2,A0A3Q1MKL2_BOVIN,Olfactory receptor,OR8S2,Bos taurus (Bovine),Unreviewed,na,G-protein coupled receptor. Receptor. Transducer,Olfaction. Sensory transduction,na
873,OR8S26 LOC781968,A0A3Q1MY61,A0A3Q1MY61_BOVIN,Olfactory receptor,OR8S26,Bos taurus (Bovine),Unreviewed,na,G-protein coupled receptor. Receptor. Transducer,Olfaction. Sensory transduction,na
874,OR8S3 LOC617388,G5E5H8,G5E5H8_BOVIN,Olfactory receptor,OR8S3,Bos taurus (Bovine),Unreviewed,na,G-protein coupled receptor. Receptor. Transducer,Olfaction. Sensory transduction,na
875,LOC617380,na,na,na,na,na,na,na,na,na,na
876,LOC518129,na,na,na,na,na,na,na,na,na,na
877,LOC100300010,na,na,na,na,na,na,na,na,na,na
878,OR5BJ2 LOC523258,F1MRF0,F1MRF0_BOVIN,Olfactory receptor,OR5BJ2,Bos taurus (Bovine),Unreviewed,na,G-protein coupled receptor. Receptor. Transducer,Olfaction. Sensory transduction,na
879,LOC100848234,na,na,na,na,na,na,na,na,na,na
880,ZNF641,E1BNN9,E1BNN9_BOVIN,Zinc finger protein 641,ZNF641,Bos taurus (Bovine),Unreviewed,regulation of transcription by RNA polymerase II,na,na,Metal-binding. Zinc
881,H1-7  LOC784038,A0A3Q1M3C8,A0A3Q1M3C8_BOVIN,H1.7 linker histone,H1-7,Bos taurus (Bovine),Unreviewed,na,na,na,na
882,H1FNT,na,na,na,na,na,na,na,na,na,na
883,LOC513452,na,na,na,na,na,na,na,na,na,na
884,LOC619137,na,na,na,na,na,na,na,na,na,na
885,LOC101902265,na,na,na,na,na,na,na,na,na,na
886,LOC101905376,na,na,na,na,na,na,na,na,na,na
887,LOC104972407,na,na,na,na,na,na,na,na,na,na
888,OR10AD1,F1MDQ7,F1MDQ7_BOVIN,Olfactory receptor,OR10AD1,Bos taurus (Bovine),Unreviewed,na,G-protein coupled receptor. Receptor. Transducer,Olfaction. Sensory transduction,na
889,CCDC184,Q0VC19,CC184_BOVIN,Coiled-coil domain-containing protein 184,CCDC184,Bos taurus (Bovine),Reviewed,na,na,na,na
890,LOC100139168,na,na,na,na,na,na,na,na,na,na
891,ASB8,Q08E43,ASB8_BOVIN,Ankyrin repeat and SOCS box protein 8,ASB8,Bos taurus (Bovine),Reviewed,intracellular signal transduction. protein ubiquitination,na,Ubl conjugation pathway,na
892,PFKM,Q0IIG5,PFKAM_BOVIN,"ATP-dependent 6-phosphofructokinase, muscle type",PFKM,Bos taurus (Bovine),Reviewed,"canonical glycolysis. fructose 1,6-bisphosphate metabolic process. fructose 6-phosphate metabolic process",Allosteric enzyme. Kinase. Transferase,Glycolysis,ATP-binding. Magnesium. Metal-binding. Nucleotide-binding
893,SENP1,P25500,PAPOA_BOVIN,Poly(A) polymerase alpha,PAPOLA,Bos taurus (Bovine),Reviewed,mRNA polyadenylation. regulation of mRNA 3'-end processing. RNA polyadenylation,RNA-binding. Transferase,mRNA processing,ATP-binding. Magnesium. Manganese. Metal-binding. Nucleotide-binding
894,COL2A1,P02459,CO2A1_BOVIN,Collagen alpha-1(II) chain,COL2A1,Bos taurus (Bovine),Reviewed,anterior head development. cartilage condensation. cartilage development involved in endochondral bone morphogenesis. cellular response to BMP stimulus. central nervous system development. chondrocyte differentiation. collagen fibril organization. embryonic skeletal joint morphogenesis. endochondral ossification. extracellular matrix organization. heart morphogenesis. inner ear morphogenesis. limb bud formation. negative regulation of extrinsic apoptotic signaling pathway in absence of ligand. notochord development. otic vesicle development. proteoglycan metabolic process. regulation of gene expression. roof of mouth development. sensory perception of sound. skeletal system development. tissue homeostasis. visual perception,na,na,Calcium. Metal-binding
895,TMEM106C,Q3T144,T106C_BOVIN,Transmembrane protein 106C,TMEM106C,Bos taurus (Bovine),Reviewed,na,na,na,na
896,VDR,Q28037,VDR_BOVIN,Vitamin D3 receptor,VDR,Bos taurus (Bovine),Reviewed,cell differentiation. multicellular organism development. negative regulation of transcription by RNA polymerase II. positive regulation of transcription by RNA polymerase II. vitamin D receptor signaling pathway,DNA-binding. Receptor,Transcription. Transcription regulation,Metal-binding. Zinc
897,LOC101905514,na,na,na,na,na,na,na,na,na,na
898,LOC101905666,na,na,na,na,na,na,na,na,na,na
899,HDAC7,Q2KIA0,MEF2C_BOVIN,Myocyte-specific enhancer factor 2C,MEF2C,Bos taurus (Bovine),Reviewed,"apoptotic process. B cell homeostasis. B cell proliferation. B cell receptor signaling pathway. blood vessel development. blood vessel remodeling. cardiac ventricle formation. cardiocyte differentiation. cell differentiation. cellular response to calcium ion. cellular response to drug. cellular response to fluid shear stress. cellular response to lipopolysaccharide. cellular response to parathyroid hormone stimulus. cellular response to transforming growth factor beta stimulus. cellular response to trichostatin A. chondrocyte differentiation. endochondral ossification. epithelial cell proliferation involved in renal tubule morphogenesis. germinal center formation. glomerulus morphogenesis. heart development. heart looping. humoral immune response. learning or memory. MAPK cascade. melanocyte differentiation. muscle cell fate determination. negative regulation of gene expression. negative regulation of neuron apoptotic process. negative regulation of ossification. negative regulation of transcription by RNA polymerase II. nephron tubule epithelial cell differentiation. neural crest cell differentiation. neuron development. neuron differentiation. osteoblast differentiation. outflow tract morphogenesis. platelet formation. positive regulation of alkaline phosphatase activity. positive regulation of B cell proliferation. positive regulation of behavioral fear response. positive regulation of bone mineralization. positive regulation of cardiac muscle cell differentiation. positive regulation of cardiac muscle cell proliferation. positive regulation of gene expression. positive regulation of macrophage apoptotic process. positive regulation of myoblast differentiation. positive regulation of neuron differentiation. positive regulation of osteoblast differentiation. positive regulation of skeletal muscle cell differentiation. positive regulation of skeletal muscle tissue development. positive regulation of transcription, DNA-templated. positive regulation of transcription by RNA polymerase II. primary heart field specification. regulation of germinal center formation. regulation of megakaryocyte differentiation. regulation of synaptic activity. regulation of transcription by RNA polymerase II. renal tubule morphogenesis. secondary heart field specification. sinoatrial valve morphogenesis. skeletal muscle tissue development. smooth muscle cell differentiation. ventricular cardiac muscle cell differentiation",Activator. Developmental protein. DNA-binding,Apoptosis. Differentiation. Neurogenesis. Transcription. Transcription regulation,na
900,SLC48A1,E1BKJ0,E1BKJ0_BOVIN,Solute carrier family 48 member 1,SLC48A1,Bos taurus (Bovine),Unreviewed,heme transport,na,na,na
901,LOC101905586,na,na,na,na,na,na,na,na,na,na
902,RAPGEF3,F1MSG6,RPGF2_BOVIN,Rap guanine nucleotide exchange factor 2,RAPGEF2,Bos taurus (Bovine),Reviewed,adenylate cyclase-activating adrenergic receptor signaling pathway. blood vessel development. brain-derived neurotrophic factor receptor signaling pathway. cAMP-mediated signaling. cellular response to cAMP. cellular response to cGMP. cellular response to nerve growth factor stimulus. establishment of endothelial barrier. forebrain neuron development. G protein-coupled receptor signaling pathway. negative regulation of cell population proliferation. negative regulation of dendrite morphogenesis. negative regulation of melanin biosynthetic process. nerve growth factor signaling pathway. neuron migration. neuron projection development. neuropeptide signaling pathway. positive regulation of cAMP-dependent protein kinase activity. positive regulation of cAMP-mediated signaling. positive regulation of dendritic cell apoptotic process. positive regulation of ERK1 and ERK2 cascade. positive regulation of GTPase activity. positive regulation of neuron migration. positive regulation of neuron projection development. positive regulation of protein binding. positive regulation of protein kinase activity. positive regulation of vasculogenesis. Rap protein signal transduction. regulation of cell junction assembly. ventricular system development,Developmental protein. GTPase activation. Guanine-nucleotide releasing factor,Differentiation. Neurogenesis,na
903,LOC112446799,na,na,na,na,na,na,na,na,na,na
904,ENDOU,A6QLQ8,ENDOU_BOVIN,Poly(U)-specific endoribonuclease,ENDOU,Bos taurus (Bovine),Reviewed,immune response,Endonuclease. Hydrolase. Nuclease. RNA-binding,na,Manganese. Metal-binding
905,RPAP3,Q0VCI6,PIHD1_BOVIN,PIH1 domain-containing protein 1,PIH1D1,Bos taurus (Bovine),Reviewed,box C/D snoRNP assembly. chromatin remodeling. epithelial cell differentiation. establishment of protein localization to chromatin. negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway. negative regulation of histone H3-K9 dimethylation. negative regulation of histone H3-K9 trimethylation. negative regulation of histone H4-K16 acetylation. positive regulation of glucose mediated signaling pathway. positive regulation of histone H3-K9 acetylation. positive regulation of histone H4 acetylation. positive regulation of protein-containing complex assembly. positive regulation of protein serine/threonine kinase activity. positive regulation of TORC1 signaling. positive regulation of transcription of nucleolar large rRNA by RNA polymerase I. regulation of histone H3-K4 methylation. rRNA processing. snoRNA localization,na,Transcription. Transcription regulation,na
906,LOC112446682,na,na,na,na,na,na,na,na,na,na
907,LOC101902438,na,na,na,na,na,na,na,na,na,na
908,LOC112446683,na,na,na,na,na,na,na,na,na,na
909,LOC112446684,na,na,na,na,na,na,na,na,na,na
910,LOC112446685,na,na,na,na,na,na,na,na,na,na
911,LOC107132477,na,na,na,na,na,na,na,na,na,na
912,PCED1B,A6QL70,PED1B_BOVIN,PC-esterase domain-containing protein 1B,PCED1B,Bos taurus (Bovine),Reviewed,na,na,na,na
913,LOC100847695,na,na,na,na,na,na,na,na,na,na
914,AMIGO2,A0A4W2I8N4,A0A4W2I8N4_BOBOX,Ig-like domain-containing protein,AMIGO2,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,cell adhesion. negative regulation of apoptotic process. positive regulation of synapse assembly,na,Cell adhesion,na
915,LOC112446608,na,na,na,na,na,na,na,na,na,na
916,SLC38A4,F1MM24,F1MM24_BOVIN,Solute carrier family 38 member 4,SLC38A4,Bos taurus (Bovine),Unreviewed,amino acid transmembrane transport,na,na,na
917,LOC112446686,na,na,na,na,na,na,na,na,na,na
918,LOC107132478,na,na,na,na,na,na,na,na,na,na
919,LOC112446800,na,na,na,na,na,na,na,na,na,na
920,SLC38A2,A2VE31,S38A2_BOVIN,Sodium-coupled neutral amino acid transporter 2,SLC38A2,Bos taurus (Bovine),Reviewed,amino acid transmembrane transport. cellular response to arsenite(3-). glutamine transport. positive regulation of RNA splicing. regulation of cellular response to stress,na,Amino-acid transport. Ion transport. Sodium transport. Symport. Transport,Sodium
921,SLC38A1,A7MB74,SGK1_BOVIN,Serine/threonine-protein kinase Sgk1,SGK1,Bos taurus (Bovine),Reviewed,apoptotic process. peptidyl-serine phosphorylation,Kinase. Serine/threonine-protein kinase. Transferase,Apoptosis. Stress response,ATP-binding. Nucleotide-binding
922,LOC112446688,na,na,na,na,na,na,na,na,na,na
923,SCAF11,Q1RMR2,RU17_BOVIN,U1 small nuclear ribonucleoprotein 70 kDa,SNRNP70,Bos taurus (Bovine),Reviewed,"mRNA splicing, via spliceosome. regulation of RNA splicing",Ribonucleoprotein. RNA-binding,mRNA processing,na
924,ARID2,A7Z019,SMCA4_BOVIN,Transcription activator BRG1,SMARCA4,Bos taurus (Bovine),Reviewed,ATP-dependent chromatin remodeling. nervous system development. positive regulation of transcription by RNA polymerase II,Activator. Chromatin regulator. Helicase. Hydrolase. Repressor. RNA-binding,Neurogenesis. Transcription. Transcription regulation,ATP-binding. Nucleotide-binding
925,ANO6,A0A3Q1M2M7,A0A3Q1M2M7_BOVIN,Anoctamin,ANO6,Bos taurus (Bovine),Unreviewed,activation of blood coagulation via clotting cascade. bleb assembly. blood coagulation. calcium activated phosphatidylcholine scrambling. calcium activated phosphatidylserine scrambling. calcium ion transmembrane transport. chloride transmembrane transport. dendritic cell chemotaxis. negative regulation of cell volume. phosphatidylserine exposure on blood platelet. pore complex assembly. positive regulation of bone mineralization. positive regulation of endothelial cell apoptotic process. positive regulation of ion transmembrane transport. positive regulation of monocyte chemotaxis. purinergic nucleotide receptor signaling pathway. sodium ion transmembrane transport. transmembrane transport,na,na,na
926,LOC784769,na,na,na,na,na,na,na,na,na,na
927,DBX2,Q17QR5,DBX2_BOVIN,Homeobox protein DBX2,DBX2,Bos taurus (Bovine),Reviewed,regulation of transcription by RNA polymerase II,DNA-binding,na,na
928,NELL2,A6QR11,NELL2_BOVIN,Protein kinase C-binding protein NELL2,NELL2,Bos taurus (Bovine),Reviewed,na,na,na,Calcium
929,LOC101906916,na,na,na,na,na,na,na,na,na,na
930,TMEM117,A6QQU3,A6QQU3_BOVIN,TMEM117 protein,TMEM117,Bos taurus (Bovine),Unreviewed,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,na,na,na
931,TWF1,Q56JV6,TWF1_BOVIN,Twinfilin-1,TWF1,Bos taurus (Bovine),Reviewed,actin filament depolymerization. barbed-end actin filament capping. positive regulation of neuron projection development. regulation of lamellipodium assembly. sequestering of actin monomers,Actin-binding,na,na
932,IRAK4,Q1RMT8,IRAK4_BOVIN,Interleukin-1 receptor-associated kinase 4,IRAK4,Bos taurus (Bovine),Reviewed,cytokine-mediated signaling pathway. innate immune response. intracellular signal transduction. neutrophil mediated immunity. neutrophil migration. positive regulation of I-kappaB kinase/NF-kappaB signaling,Kinase. Serine/threonine-protein kinase. Transferase,Immunity. Innate immunity,ATP-binding. Magnesium. Nucleotide-binding
933,IRAK4,Q1RMT8,IRAK4_BOVIN,Interleukin-1 receptor-associated kinase 4,IRAK4,Bos taurus (Bovine),Reviewed,cytokine-mediated signaling pathway. innate immune response. intracellular signal transduction. neutrophil mediated immunity. neutrophil migration. positive regulation of I-kappaB kinase/NF-kappaB signaling,Kinase. Serine/threonine-protein kinase. Transferase,Immunity. Innate immunity,ATP-binding. Magnesium. Nucleotide-binding
934,PUS7L,E1BGT6,E1BGT6_BOVIN,Pseudouridine synthase 7 like,PUS7L,Bos taurus (Bovine),Unreviewed,pseudouridine synthesis,na,na,na
935,ADAMTS20,E1B900,E1B900_BOVIN,ADAM metallopeptidase with thrombospondin type 1 motif 20,ADAMTS20,Bos taurus (Bovine),Unreviewed,extracellular matrix organization. negative regulation of apoptotic process. positive regulation of melanocyte differentiation. positive regulation of signal transduction,Hydrolase. Metalloprotease. Protease,na,Metal-binding. Zinc
936,LOC534627,na,na,na,na,na,na,na,na,na,na
937,LOC112446902,na,na,na,na,na,na,na,na,na,na
938,LOC786089,na,na,na,na,na,na,na,na,na,na
939,TRNAS-GGA,na,na,na,na,na,na,na,na,na,na
940,LOC112446856,na,na,na,na,na,na,na,na,na,na
941,LOC112446801,na,na,na,na,na,na,na,na,na,na
942,MUC19,F2FB39,F2FB39_BOVIN,Mucin-19,MUC19,Bos taurus (Bovine),Unreviewed,na,na,na,na
943,LOC534391,na,na,na,na,na,na,na,na,na,na
944,LRRK2,E1BPU0,E1BPU0_BOVIN,Non-specific serine/threonine protein kinase,LRRK2,Bos taurus (Bovine),Unreviewed,"activation of MAPKK activity. calcium-mediated signaling. cellular response to dopamine. cellular response to manganese ion. cellular response to organic cyclic compound. cellular response to oxidative stress. cellular response to starvation. determination of adult lifespan. endocytosis. endoplasmic reticulum organization. excitatory postsynaptic potential. Golgi organization. GTP metabolic process. intracellular distribution of mitochondria. locomotory exploration behavior. mitochondrion organization. negative regulation of autophagosome assembly. negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway. negative regulation of excitatory postsynaptic potential. negative regulation of GTPase activity. negative regulation of hydrogen peroxide-induced cell death. negative regulation of neuron death. negative regulation of protein binding. negative regulation of protein phosphorylation. negative regulation of protein processing. negative regulation of protein targeting to mitochondrion. negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation. neuromuscular junction development. neuron death. neuron projection morphogenesis. peptidyl-serine phosphorylation. positive regulation of autophagy. positive regulation of canonical Wnt signaling pathway. positive regulation of dopamine receptor signaling pathway. positive regulation of histone deacetylase activity. positive regulation of programmed cell death. positive regulation of proteasomal ubiquitin-dependent protein catabolic process. positive regulation of protein autoubiquitination. positive regulation of protein binding. protein autophosphorylation. protein import into nucleus. protein localization to endoplasmic reticulum exit site. protein phosphorylation. reactive oxygen species metabolic process. regulation of branching morphogenesis of a nerve. regulation of CAMKK-AMPK signaling cascade. regulation of canonical Wnt signaling pathway. regulation of dendritic spine morphogenesis. regulation of dopamine receptor signaling pathway. regulation of ER to Golgi vesicle-mediated transport. regulation of kidney size. regulation of locomotion. regulation of lysosomal lumen pH. regulation of membrane potential. regulation of mitochondrial depolarization. regulation of neuroblast proliferation. regulation of neuron maturation. regulation of protein kinase A signaling. regulation of protein stability. regulation of retrograde transport, endosome to Golgi. regulation of synaptic transmission, glutamatergic. regulation of synaptic vesicle endocytosis. regulation of synaptic vesicle exocytosis. regulation of synaptic vesicle transport. signal transduction. tangential migration from the subventricular zone to the olfactory bulb. Wnt signalosome assembly",Kinase. Serine/threonine-protein kinase. Transferase,Differentiation,ATP-binding. GTP-binding. Nucleotide-binding
945,SLC2A13,E1BML6,E1BML6_BOVIN,Solute carrier family 2 member 13,SLC2A13,Bos taurus (Bovine),Unreviewed,carbohydrate transport. positive regulation of amyloid-beta formation,na,Sugar transport. Transport,na
946,C5H12orf40,na,na,na,na,na,na,na,na,na,na
947,ABCD2,P10103,HMGB1_BOVIN,High mobility group protein B1,HMGB1,Bos taurus (Bovine),Reviewed,"activation of innate immune response. apoptotic cell clearance. autophagy. B cell proliferation involved in immune response. chromatin remodeling. chromatin silencing. dendritic cell chemotaxis. DNA geometric change. DNA recombination. DNA repair. DNA topological change. inflammatory response to antigenic stimulus. innate immune response. myeloid dendritic cell activation. negative regulation of apoptotic cell clearance. negative regulation of blood vessel endothelial cell migration. negative regulation of CD4-positive, alpha-beta T cell differentiation. negative regulation of interferon-gamma production. negative regulation of RNA polymerase II transcription preinitiation complex assembly. neutrophil clearance. nucleosome assembly. plasmacytoid dendritic cell activation. positive regulation of activated T cell proliferation. positive regulation of apoptotic process. positive regulation of autophagy. positive regulation of blood vessel endothelial cell migration. positive regulation of chemokine (C-X-C motif) ligand 2 production. positive regulation of cysteine-type endopeptidase activity involved in apoptotic process. positive regulation of cytosolic calcium ion concentration. positive regulation of dendritic cell differentiation. positive regulation of DNA binding. positive regulation of DNA ligation. positive regulation of ERK1 and ERK2 cascade. positive regulation of interferon-alpha production. positive regulation of interleukin-10 production. positive regulation of interleukin-12 production. positive regulation of interleukin-1 production. positive regulation of interleukin-6 production. positive regulation of interleukin-8 production. positive regulation of JNK cascade. positive regulation of mismatch repair. positive regulation of monocyte chemotaxis. positive regulation of toll-like receptor 9 signaling pathway. positive regulation of transcription by RNA polymerase II. positive regulation of tumor necrosis factor production. positive regulation of vascular endothelial cell proliferation. regulation of restriction endodeoxyribonuclease activity. regulation of T cell mediated immune response to tumor cell. regulation of tolerance induction. regulation of transcription by RNA polymerase II. T-helper 1 cell activation. T-helper 1 cell differentiation. toll-like receptor 9 signaling pathway. V(D)J recombination",DNA-binding,Adaptive immunity. Autophagy. Chemotaxis. DNA damage. DNA recombination. DNA repair. Immunity. Inflammatory response. Innate immunity,na
948,LOC785955,na,na,na,na,na,na,na,na,na,na
949,LOC100847470,na,na,na,na,na,na,na,na,na,na
950,KIF21A,F1MJ53,F1MJ53_BOVIN,Kinesin family member 21A,KIF21A,Bos taurus (Bovine),Unreviewed,microtubule-based movement,Motor protein,na,ATP-binding. Nucleotide-binding
951,MIR2428,na,na,na,na,na,na,na,na,na,na
952,LOC112446895,na,na,na,na,na,na,na,na,na,na
953,LOC617654,na,na,na,na,na,na,na,na,na,na
954,CPNE8,A5D784,A5D784_BOVIN,CPNE8 protein,CPNE8,Bos taurus (Bovine),Unreviewed,cellular response to calcium ion,na,na,Calcium
955,PTPRR,A5PKF8,A5PKF8_BOVIN,Protein-tyrosine-phosphatase,PTPRR,Bos taurus (Bovine),Unreviewed,ERBB2 signaling pathway. in utero embryonic development. negative regulation of epithelial cell migration. negative regulation of ERK1 and ERK2 cascade,na,na,na
956,LOC112446905,na,na,na,na,na,na,na,na,na,na
957,LOC112446692,na,na,na,na,na,na,na,na,na,na
958,PTPRB,Q06807,TIE2_BOVIN,Angiopoietin-1 receptor,TEK,Bos taurus (Bovine),Reviewed,angiogenesis. endothelial cell proliferation. heart development. heart trabecula formation. multicellular organism development. negative regulation of angiogenesis. negative regulation of endothelial cell apoptotic process. peptidyl-tyrosine phosphorylation. positive regulation of actin cytoskeleton reorganization. positive regulation of angiogenesis. positive regulation of endothelial cell migration. positive regulation of ERK1 and ERK2 cascade. positive regulation of focal adhesion assembly. positive regulation of intracellular signal transduction. positive regulation of kinase activity. positive regulation of MAPK cascade. positive regulation of phosphatidylinositol 3-kinase activity. positive regulation of phosphatidylinositol 3-kinase signaling. positive regulation of protein kinase B signaling. positive regulation of protein phosphorylation. protein autophosphorylation. regulation of establishment or maintenance of cell polarity. sprouting angiogenesis. substrate adhesion-dependent cell spreading. Tie signaling pathway. transmembrane receptor protein tyrosine kinase signaling pathway,Kinase. Receptor. Transferase. Tyrosine-protein kinase,na,ATP-binding. Nucleotide-binding
959,MIR2284Z-5,na,na,na,na,na,na,na,na,na,na
960,KCNMB4,Q28204,KCMA1_BOVIN,Calcium-activated potassium channel subunit alpha-1,KCNMA1,Bos taurus (Bovine),Reviewed,adult walking behavior. cell maturation. cellular potassium ion homeostasis. chemical synaptic transmission. circadian rhythm. eye blink reflex. inner ear auditory receptor cell differentiation. locomotor rhythm. micturition. negative regulation of cell volume. neuromuscular process controlling balance. neuronal action potential. positive regulation of apoptotic process. potassium ion transmembrane transport. potassium ion transport. protein homooligomerization. regulation of aldosterone metabolic process. regulation of ion transmembrane transport. regulation of membrane potential. relaxation of vascular associated smooth muscle. response to calcium ion. response to carbon monoxide. response to hypoxia. response to osmotic stress. saliva secretion. sensory perception of sound. smooth muscle contraction involved in micturition. vasodilation,Ion channel. Potassium channel. Voltage-gated channel,Ion transport. Potassium transport. Transport,Calcium. Magnesium. Metal-binding. Potassium
961,TRNAC-GCA,na,na,na,na,na,na,na,na,na,na
962,LOC112446691,na,na,na,na,na,na,na,na,na,na
963,CNOT2,A0A4W2DD20,A0A4W2DD20_BOBOX,NOT2_3_5 domain-containing protein,CNOT2,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,negative regulation of intracellular estrogen receptor signaling pathway. negative regulation of transcription by RNA polymerase II. positive regulation of cytoplasmic mRNA processing body assembly. regulation of stem cell population maintenance. trophectodermal cell differentiation,na,Transcription. Transcription regulation,na
964,LOC107131684,na,na,na,na,na,na,na,na,na,na
965,LOC104972423,na,na,na,na,na,na,na,na,na,na
966,MYRFL,F1N4M2,MRFL_BOVIN,Myelin regulatory factor-like protein,MYRFL,Bos taurus (Bovine),Reviewed,"positive regulation of transcription, DNA-templated. protein autoprocessing",DNA-binding,na,na
